Sample ID	Block	Time	Jar	Treatment	Measurement Date	Measurer Name	Larval Stage	Alive/Dead	Normal/Deformed	N.D.A
CS.B06.T00.J03 7.21.18-0015	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0016	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0017	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0018	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0019	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0020 A	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0020 B	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0021	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0022	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0023	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0024	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0025	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J03 7.21.18-0026	B06	T00	J03	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0001	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0002	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0003	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0004	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0005	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0006	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0007	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0008	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0009	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0010	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0011	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0012	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0013	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0014	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0015	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0016 A	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0016 B	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0017	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0018	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0019	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0020	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0021	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0022	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0023	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0024	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0025	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0026 A	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0026 B	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J04 7.23.18-0027	B06	T00	J04	SE	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0001	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0002	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Deformed	Deformed
CS.B06.T00.J05 7.23.18-0003	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0004	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0005	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0006	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0007	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0008	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0009	B06	T00	J05	CA	6/18/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B06.T00.J05 7.23.18-0010	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0011	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0012	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0013	B06	T00	J05	CA	6/18/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0014	B06	T00	J05	CA	6/19/2019	Melati Tarrant	D-Stage	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0015	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0016	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0017	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0018	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0019	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0019	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0020	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0021	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0022	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0022	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0023	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0024	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0025	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0025	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0026	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0027	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0028	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0029	B06	T00	J05	CA	6/19/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B06.T00.J05 7.23.18-0030 A	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J05 7.23.18-0030 B	B06	T00	J05	CA	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J06 7.24.18-0001	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J06 7.24.18-0002	B06	T00	J06	CON	6/19/2019	Melati Tarrant	NA	Dead	NA	Dead
CS.B06.T00.J06 7.24.18-0003	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J06 7.24.18-0004	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J06 7.24.18-0005	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
CS.B06.T00.J06 7.24.18-0006	B06	T00	J06	CON	6/19/2019	Melati Tarrant	Trochophore	Alive	Normal	Normal
