"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111100516","GO:0046314","phosphocreatine biosynthetic process",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111103765","GO:0050821","protein stabilization",11,2,0.15,0.01,"Biological Processes",0.181818181818182,"Convergent: All Outliers"
"LOC111107274","GO:1990547","mitochondrial phosphate ion transmembrane transport",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111107328","GO:0003341","cilium movement",51,5,0.72,0.0126,"Biological Processes",0.0980392156862745,"Convergent: All Outliers"
"LOC111107328","GO:0018094","protein polyglycylation",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111107328","GO:0060271","cilium assembly",165,8,2.32,0.0151,"Biological Processes",0.0484848484848485,"Convergent: All Outliers"
"LOC111108307","GO:0042541","hemoglobin biosynthetic process",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111108307","GO:0048821","erythrocyte development",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111108653","GO:0032486","Rap protein signal transduction",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111108653","GO:0071320","cellular response to cAMP",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111108653","GO:2000301","negative regulation of synaptic vesicle exocytosis",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111110098","GO:0009051","pentose-phosphate shunt, oxidative branch",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111111015","GO:0046168","glycerol-3-phosphate catabolic process",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111112160","GO:0043401","steroid hormone mediated signaling pathway",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111112160","GO:0048240","sperm capacitation",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111112160","GO:0051792","medium-chain fatty acid biosynthetic process",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111112296","GO:0007099","centriole replication",24,2,0.34,0.0444,"Biological Processes",0.0833333333333333,"Convergent: All Outliers"
"LOC111113970","GO:0003341","cilium movement",51,5,0.72,0.0126,"Biological Processes",0.0980392156862745,"Convergent: All Outliers"
"LOC111116077","GO:0007271","synaptic transmission, cholinergic",22,3,0.31,0.0413,"Biological Processes",0.136363636363636,"Convergent: All Outliers"
"LOC111116974","GO:0032780","negative regulation of ATPase activity",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111118797","GO:0060271","cilium assembly",165,8,2.32,0.0151,"Biological Processes",0.0484848484848485,"Convergent: All Outliers"
"LOC111118797","GO:0060294","cilium movement involved in cell motility",16,2,0.23,0.0208,"Biological Processes",0.125,"Convergent: All Outliers"
"LOC111119413","GO:0030431","sleep",19,2,0.27,0.0288,"Biological Processes",0.105263157894737,"Convergent: All Outliers"
"LOC111119413","GO:0032222","regulation of synaptic transmission, cholinergic",19,2,0.27,0.0288,"Biological Processes",0.105263157894737,"Convergent: All Outliers"
"LOC111119413","GO:1903818","positive regulation of voltage-gated potassium channel activity",19,2,0.27,0.0288,"Biological Processes",0.105263157894737,"Convergent: All Outliers"
"LOC111119458","GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111119458","GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111119517","GO:0060623","regulation of chromosome condensation",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111119517","GO:0071922","regulation of cohesin loading",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111120699","GO:0003400","regulation of COPII vesicle coating",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111120699","GO:0070863","positive regulation of protein exit from endoplasmic reticulum",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111122642","GO:0003341","cilium movement",51,5,0.72,0.0126,"Biological Processes",0.0980392156862745,"Convergent: All Outliers"
"LOC111123997","GO:0055080","cation homeostasis",180,3,2.53,0.0141,"Biological Processes",0.0166666666666667,"Convergent: All Outliers"
"LOC111124903","GO:0051085","chaperone cofactor-dependent protein refolding",22,2,0.31,0.0378,"Biological Processes",0.0909090909090909,"Convergent: All Outliers"
"LOC111125421","GO:0000278","mitotic cell cycle",258,8,3.63,0.0218,"Biological Processes",0.0310077519379845,"Convergent: All Outliers"
"LOC111125421","GO:0007099","centriole replication",24,2,0.34,0.0444,"Biological Processes",0.0833333333333333,"Convergent: All Outliers"
"LOC111125427","GO:0032456","endocytic recycling",17,2,0.24,0.0233,"Biological Processes",0.117647058823529,"Convergent: All Outliers"
"LOC111125427","GO:0090382","phagosome maturation",4,2,0.06,0.014,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111125596","GO:0009142","nucleoside triphosphate biosynthetic process",48,2,0.68,0.0415,"Biological Processes",0.0416666666666667,"Convergent: All Outliers"
"LOC111125622","GO:0051085","chaperone cofactor-dependent protein refolding",22,2,0.31,0.0378,"Biological Processes",0.0909090909090909,"Convergent: All Outliers"
"LOC111125850","GO:0035499","carnosine biosynthetic process",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111126300","GO:0060271","cilium assembly",165,8,2.32,0.0151,"Biological Processes",0.0484848484848485,"Convergent: All Outliers"
"LOC111127007","GO:0035973","aggrephagy",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111128753","GO:0055129","L-proline biosynthetic process",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111129175","GO:0010890","positive regulation of sequestering of triglyceride",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111129464","GO:0000278","mitotic cell cycle",258,8,3.63,0.0218,"Biological Processes",0.0310077519379845,"Convergent: All Outliers"
"LOC111129556","GO:0090251","protein localization involved in establishment of planar polarity",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111129841","GO:0050821","protein stabilization",11,2,0.15,0.01,"Biological Processes",0.181818181818182,"Convergent: All Outliers"
"LOC111130239","GO:0032957","inositol trisphosphate metabolic process",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111130289","GO:0060271","cilium assembly",165,8,2.32,0.0151,"Biological Processes",0.0484848484848485,"Convergent: All Outliers"
"LOC111130952","GO:0030431","sleep",19,2,0.27,0.0288,"Biological Processes",0.105263157894737,"Convergent: All Outliers"
"LOC111130952","GO:0032222","regulation of synaptic transmission, cholinergic",19,2,0.27,0.0288,"Biological Processes",0.105263157894737,"Convergent: All Outliers"
"LOC111130952","GO:1903818","positive regulation of voltage-gated potassium channel activity",19,2,0.27,0.0288,"Biological Processes",0.105263157894737,"Convergent: All Outliers"
"LOC111131214","GO:0034498","early endosome to Golgi transport",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111133592","GO:0090385","phagosome-lysosome fusion",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111134227","GO:0002188","translation reinitiation",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111134417","GO:0035523","protein K29-linked deubiquitination",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111134417","GO:1990168","protein K33-linked deubiquitination",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111134892","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111134892","GO:0051457","maintenance of protein location in nucleus",1,1,0.01,0.0141,"Biological Processes",1,"Convergent: All Outliers"
"LOC111135089","GO:0060271","cilium assembly",165,8,2.32,0.0151,"Biological Processes",0.0484848484848485,"Convergent: All Outliers"
"LOC111135089","GO:0060294","cilium movement involved in cell motility",16,2,0.23,0.0208,"Biological Processes",0.125,"Convergent: All Outliers"
"LOC111135173","GO:0006679","glucosylceramide biosynthetic process",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111135255","GO:0019285","glycine betaine biosynthetic process from choline",2,1,0.03,0.0279,"Biological Processes",0.5,"Convergent: All Outliers"
"LOC111135311","GO:0032456","endocytic recycling",17,2,0.24,0.0233,"Biological Processes",0.117647058823529,"Convergent: All Outliers"
"LOC111135493","GO:0042446","hormone biosynthetic process",16,2,0.23,0.0208,"Biological Processes",0.125,"Convergent: All Outliers"
"LOC111135493","GO:0042448","progesterone metabolic process",6,2,0.08,0.0028,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111135697","GO:0000395","mRNA 5'-splice site recognition",3,1,0.04,0.0416,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111137486","GO:0000278","mitotic cell cycle",258,8,3.63,0.0218,"Biological Processes",0.0310077519379845,"Convergent: All Outliers"
"LOC111137567","GO:0042446","hormone biosynthetic process",16,2,0.23,0.0208,"Biological Processes",0.125,"Convergent: All Outliers"
"LOC111137567","GO:0042448","progesterone metabolic process",6,2,0.08,0.0028,"Biological Processes",0.333333333333333,"Convergent: All Outliers"
"LOC111099426","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111099610","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111100481","GO:0005929","cilium",215,9,2.91,0.0074,"Cellular Components",0.0418604651162791,"Convergent: All Outliers"
"LOC111100561","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111100561","GO:0005829","cytosol",810,19,10.97,0.0322,"Cellular Components",0.0234567901234568,"Convergent: All Outliers"
"LOC111100630","GO:0005890","sodium:potassium-exchanging ATPase complex",3,1,0.04,0.0401,"Cellular Components",0.333333333333333,"Convergent: All Outliers"
"LOC111103765","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111103765","GO:0005829","cytosol",810,19,10.97,0.0322,"Cellular Components",0.0234567901234568,"Convergent: All Outliers"
"LOC111103940","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111104775","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111104775","GO:0016035","zeta DNA polymerase complex",3,1,0.04,0.0401,"Cellular Components",0.333333333333333,"Convergent: All Outliers"
"LOC111106378","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111106648","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111106649","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111107163","GO:0005634","nucleus",3481,66,47.14,0.0044,"Cellular Components",0.0189600689457053,"Convergent: All Outliers"
"LOC111107328","GO:0005929","cilium",215,9,2.91,0.0074,"Cellular Components",0.0418604651162791,"Convergent: All Outliers"
